teks,label
ramai henti kerja gaji harga kawan kerja jahat beban kerja,Negatif
dunia kerja kantor salah kerja pecat hilang gaji kerja hilang nyawa pindah tugas gaji enak,Negatif
tukar perkara sedia gaji rendah pasal jawat kembang resume sedia tukar,Netral
alas pindah kerja gaji orang pindah kerja gaji kembang lingkung sesal arti,Negatif
undang sabtu kondisi alas pindah kerja kerja alas gaji,Netral
telusur bayar lingkung kerja jahat bagus paksa tahan keburu depresi anak orang,Negatif
tingkat iring harap syarikat sistem gaji sesuai gaji kerja,Positif
kena henti kerja dorang stres kerja peras ramai benda henti kerja,Negatif
alas kerja negara rana ambil ilmu alam salur malaysia kejar gaji kejar faedah gaya hidup,Negatif
tingkat iring harap syarikat sistem gaji sesuai gaji kerja,Positif
tips salah jenis pilih kasih salah bosan kerja salah gaji kena potong lepas,Negatif
acapkali kerja arah tulis surat kerja utara alami kerja ketidakpuasan hati hadap skop kerja jadual bayar gaji janji pindah turun pangkat,Negatif
pikir kembang sehat pilih pilih,Negatif
omong mama pindah kerja alas gaji emak auto ceramah takut enak kerja lupa jodoh,Negatif
september kemarin jahat kerja kantor kantor senang banget banget banget menang,Positif
alas pindah kerja kerja leluasa perintah agama gaji ubah,Negatif
usaha minimal kerja putus pindah bilang kutu loncat alas jenjang karir pindah kerja fasilitas tara kerja cari gaji pindah,Negatif
cerita orang pimpin cewek gaji digit kadang tembus uang pindah bank alas masuk bank pakai gaji habis pegang suami info suami kerja,Negatif
pikir kayak orang kerja pindah kerja wajar cari gaji bagus cari lingkung kerja bagus alas orang pindah kerja malu pikir cetek,Negatif
alas pindah kerja gaji,Negatif
lupa alas pindah kerja alas gaji hapal,Negatif
undang sabtu kondisi alas pindah kerja kerja alas gaji,Netral
tawar kerja sekolah posisi terima ajar sekolah kontrak kayak gaji pengin pindah alas kepsek logis,Negatif
alas pindah bilang sesuai nyata utama kerja kadang pagi malam pulang gila anak kerja,Negatif
salah kerja pilih cari duit nyaman cari ajar alam muda saran cari jahat,Negatif
salah alas utama orang pindah kerja kena gaji jenjang karir lingkung kerja omong lingkung kerja jelek bilang gaji jenjang karir usaha janji,Negatif
wacana buah bibir kerja sorot kerap pergok kerja contoh,Negatif
manfaat kondisi level karir pindah usaha valid,Negatif
tingkat iring harap syarikat sistem gaji sesuai gaji kerja,Positif
tingkat iring harap syarikat sistem gaji sesuai gaji kerja,Positif
kena tukar gaji kena lihat faktor peluang staf staf cuti kerja kena angkut isteri angkut senarai,Negatif
rumah cuti masuk staff jahat gaji komitmen takat,Negatif
bikin rekening bohong alas pindah kerja gaji dikit kemarin,Negatif
cewek kerja pulang sore galak kerja main sabtu masuk tanggal merah masuk jarak rumah kantor kerja takut tanggap,Negatif
lompat kenal kawan sorang lompat tukar tukar baju gaji,Netral
laksana patut kuat kuasa september tangguh cuti salin cuti kerja minggu lepas raja putus pinda akta kerja tangguh januari,Netral
putus pindah kerja gaji rendah ganti mental sehat tingkat stres kendali temu keluarga damping tumbuh kembang buah salah putus bijak hidup,Netral
staff bilang hati makan usaha coba cari kerja susah jaman kerja kayak dasar syukur entar kerja,Negatif
nyata lingkung kerja jahat alas beliau cocok usaha fokus studi kontrak wajar hitung,Positif
kerja jawat awam putus henti kerja nasihat henti alas sayang kerja jamin takut niaga,Negatif
pindah henti cikgu posting jalan kereta jalan laut sekolah cantik budaya kerja santai,Negatif
orang kerja cocok nyaman jahat beda visi mudah bilang cicil kudu lunas butuh anggota keluarga semangat juang rupiah,Negatif
drop alas jahat jahat drop etis versi terima kasih,Negatif
ramai cakap zone gain basic bosan contoh pasal gaji pasal suka kerja takut,Negatif
gatal gatal cakap benda buruk pasal majikan cakap buruk pasal kerja cakap pasal jahat jatuh cinta,Negatif
pindah kerja gaji turun ribu alas pindah betah kerja kerja,Negatif
cewek gaji pindah kerja gaji turun persen alas putus,Negatif
rekan kerja pindah kerja gaji digit digit jabat rendah kerja kontrak alas pindah start stabil,Negatif
terima kasih tawar salah alas pindah kerja minimal gaji tawar buka diskus moga timbang terima kasih,Negatif
allah alas pengin kerja salah pengin pindah banget tetangga jahat moga cepat kerja,Netral
pengin pindah kerja alas gaji cuman lepas lingkung pikir,Negatif
teman kantor utama cewek coba salah sender sender suka sebentar tinggal uang asuransi jamin cela,Negatif
wajib alas pindah kerja gaji spekulasi jamin nyaman mending pindah,Negatif
bangun kantor masuk bangun keburu sarap kantor salah alas pindah masuk kerja posisi eksklusif,Negatif
pengin pindah kerja alas kuat gaji jemput susah motor gampang kerja susah gaji susah,Negatif
karyawan kerja pola pikir maaf kerja rumah kapai daftar kerja rumah kemarin terima kerja gaji,Positif
halo sender kantor alhamdulillah langsung kerja gaji kantor kerja menang hasil,Positif
alas pindah kerja alas pindah jahat rangkap,Negatif
kerja coba minimarket bang warnet kafe toko baju toko daging motel libur cuman tidur alas uang,Negatif
guru gaji administrasi murid nakal wali murid rekan guru jahat,Positif
korban gaji juta paksa hidup gaji juta paksa cari laki suruh pindah kerja gaji,Negatif
paksa modern bebas undur tunggu anggap kerja tahan usaha wajib asih makan siang lembur minggu kasih kompensasi libur atur negeri manusiawi banding atur,Negatif
cewek gaji aneh usaha salah over kasih gaji biar pikir capek ajar,Negatif
cewek gaji putus kerja libur gaji juta jujur badan toleransi,Positif
sayang kerja jahat sedih,Negatif
alas pindah kerja henti kerja kembang bosan cari hobi bikin kembang bikin semangat,Negatif
kantor bagus banget enak kompak jahat gaji seret karir kembang situ alas teman enak cari kayak,Negatif
banget teman pilih dagang cilok alas bilang fleksibel mudah ibadah hasil gaji dagang,Positif
kemarin pusing pikir salah alas tolak tawar pindah kerja gaji,Negatif
mama menang kangen adik bungsu kerja qatar lulus bandung orang kasihan capek pulang tarik nafas kerja gaji,Negatif
alas bikin gaji jahat kerja sesuai minat bahas versi hasil riset,Positif
wajar tukar kerja pindah kerja gaji loyal gaji tengok contoh situasi,Negatif
sorang adik komen nama hakim nama bang malas pergi kerja esok kali tengok muka suka harga awak gaji,Negatif
salah ajar perkara gaji jahat peluang pangkat tukar kerja,Negatif
kadang timbang orang rela kerja gaji faktor jarak keluarga tinggal anak lingkung kerja,Negatif
omong gaji orang ambis tarik bahas gaji pindah kerja alas gaji kerja coba usaha,Negatif
utama kerja masuk gaji pakai orang indonesia indonesia gaji habis hidup,Negatif
pindah kantor kali kerja alas kawan kantor jahat terima pindah kantor kali mesti kaca jahat,Negatif
ganti beda kerja situ kerja kerja upah lembur gaji bpjs parkir bayar jarak tempuh ijin tunjang cair,Netral
ramai gaji harga kawan kerja jahat susah situ repek kebaji kerja abai jaga anak jaga sehat,Negatif
alas obat bilang mantan rekan teman bilang mbak sepatu mall beliau manager region jateng mall,Negatif
tolong resmi bank swasta lolos gaji moga putus karir riba,Netral
kerja slogan sekolah kampung uang saku sekolah ajar riset tinggal sintas perempuan minggu lihat tangis sintas tahan dinamika henti salah,Negatif
pindah rumah kantor rekan kerja ajar jalan doang tahan minggu habis alas niat susah,Negatif
pulang malam subuh emak kasih pindah kerja alas cuman rumah rumah potensi malam,Negatif
rasai orang orang betah kerja lingkung kerja jahat kemarin berkas berkas alas pindah,Negatif
suruh pulang kerja selesai kantor tutup artikel alas pindah kerja,Negatif
terima kerja langsung suruh banget tunggu proses banget allah nama kerja alas pindah gaji habis catat nomor,Positif
salah ajar perkara gaji jahat peluang pangkat tukar kerja,Negatif
alas pindah kerja hutan belantara produk nama nipis madu gaji kota,Negatif
alas tindak laku cari alam cari peluang sesuai tuju karir ahli kembang,Netral
gaji lipat sesuai usaha jenjang karir jakarta transportasi ongkos jahat rekan kerja kayak doang,Negatif
alas pindah kerja pindah kerja cari gaji nafkah,Negatif
alas alas percaya alas pindah kerja melulu gaji alas,Negatif
kerja jakarta gaji tawar mutasi ponorogo gaji jakarta ponorogo murah ambil,Negatif
alas teman jahat jahat kerja bikin gila cari kerja alas pindah kerja,Negatif
kayak rame generalisasi baca sisi positif kutu loncat pindah posisi gaji,Negatif
rekan kerja usaha alas posisi pindah situ,Negatif
stres cemas akibat tekan hidup pribadi lelah fisik mental paksa inspirasi lingkung rutinitas monoton perfeksionis alias fokus,Negatif
kerja undang jujur kerja tolong kasih referensi alas pindah kerja over,Negatif
pindah kerja alas kantor jahat kantor gaji pindah sesal terima kasih,Negatif
paksa masuk kerja pagi pulang malam buta hukum telat balas pesan menit paksa lepas alat kena sakit paksa kerja tidur kaki tangan hilang,Negatif
rela alas usaha banget rumah gaji ongkos transpor rupiah sesal enak,Positif
putus lingkung kerja nyaman jenjang karir gaji jenuh banget kayak karyawan nyokap tuju takut,Positif
dunia kerja dunia kerja atur urus tinggal ijin omong sakit lampir surat ijin kerja orang asih gaji,Negatif
kerja pindah alas pindah kerja cuman gaji,Negatif
entar ketemu teman gaji pikir pindah saran syukur pindah kerja alas gaji teman dewasa,Negatif
teman pindah pindah gede gaji kerja susah hidup kapai susah alas orang pindah kerja biar gaji rendah,Negatif
teman henti alas guru senior murid bandel banget kerja sekolah negeri buah kota beban kerja sesuai gaji,Positif
kali lingkung kerja jahat surat,Negatif
alas biar kerja kondisi kantor bikin jahat manusia ubah lingkung dukung kriminal timbang lihat jahat,Positif
lihat pilih gaji opsi kerja lingkung nyaman jarak pilih milik timbang kena,Negatif
arti tahan lingkung kerja jahat faktor gaji tekan keluarga kerja janji,Negatif
pindah kerja jamin aman terima sesuai kerja lolos alam tinggal nyaman usaha enak,Netral
pilih salah harga level tutup bawa gerbong rombong manjur pakai,Negatif
alas jahat banget arah kerja visi jahat bungkus alas cari kerja hasil,Netral
kembang karir hasil sesuai harap pindah faktur utama tahan pindah perut hati otak,Positif
bismillah coba rangkum sederhana paham merger akuisisi sektor bisnis kecuali industri malu agens kembang,Positif
ubah mentalitas malu telat kerja wajib acara kantor urus pribadi debat manusia salah,Negatif
cabut manager peka karir kembang kompensasi kerja belit kasi ajar apresiasi mentor kultur sehat ruang inovasi,Negatif
kerja efek gaji tingkat suka usaha daya tawar orang langsung ganti bisnis gerak cepat alas kerja,Positif
kerja efek gaji tingkat suka usaha daya tawar orang langsung ganti bisnis gerak cepat alas kerja,Positif
karyawan bohong lamar arti nyaman tahan usaha usaha evaluasi sistem manajemen lihat elegan,Positif
usaha kaca lahir sedia ruang laktasi busui fleksibel busui perah jelek karyawan kecuali lembur,Positif
alas salah gaji kontribusi uang keluarga alas terima sang direktur peduli keluarga peduli usaha pergi,Positif
bangun pagi semangat pergi kerja tepu kerja rutin gain mati situ gaji timpal,Netral
durasi kerja usaha pindah pindah alas tingkat gaji bidang,Negatif
jaman bisnis identik milik keluarga indak butuh struktur organisasi detail iring ubah jaman buah usaha milik milik saham,Negatif
teman manager pandemi tahan karyawan pikir karyawan rumah mending tutup gaji asih kerja,Positif
usaha kemarin lulus sekolah kerja henti alas gaji kerja tempo ketemu pindah kerja,Negatif
alas urgen tawar jahat kerja orang loyal terima usaha kutu loncat,Negatif
baca kontrak kerja usaha asih denda selesai kontrak kerja pindah kompetitor jujur alas cari kerja,Negatif
akak teman orang pindah usaha nutrisi usaha alas kali lipat mantap,Negatif
kerja enak banget banget bosan astaga indah bego banget pindah kerja salah usaha alas gaji digit nyata bayar tanggung sanggup,Netral
bilang gaji lumrah alas pindah usaha,Negatif
alas kerja lingkung jahat lingkung bagus jahat bagus keteter rumah mahal over stres,Negatif
harap coba kembang beda cari suasana tantang kerja alam luas,Netral
gaji cepat pindah usaha usaha syarat layak alas pindah alas negatif,Negatif
kantor bikin gaji cepat strategi jangka buah utas perspektif usaha hadap,Positif
jabodetabek wajar alias kutu loncat pindah kerja gaji pindah kerja daerah lapang kerja batas rendah coba,Negatif
lompat masuk masuk bonus kali tahan until,Negatif
sesal suruh pindah surabaya hidup jamin papa kerja usaha rumah kendara bego banget pakai alas pisah teman suka yuda,Negatif
lompat lompat relatif stabil cetak badai reda asik goreng gaji pindah kena,Negatif
salah alas suami pindah kerja gaji usaha sakit bpjs doang profit fasilitas alhamdulillah,Negatif
barusan teman cerita usaha jepang jaman kali pindah kerja alas loyal kutu loncat problem,Negatif
beban operasional usaha karyawan sesuai gaji biar beban operasional berat karyawan gaji ganti karyawan gaji,Positif
alas gaji wajar takut anggap loyal usaha anggap usaha gaji pindah,Negatif
usaha teman jamin capek nyaman alas pindah pindah orang,Negatif
sejarah catat pindah presiden sulit ekonomi negara utang potensi gusur warga lokal luas rusa kalimantan cenderung untung oligarki,Negatif
telusur bayar lingkung kerja jahat bagus paksa tahan keburu depresi anak orang,Negatif
undur massal usaha pandemi kondisi usaha stres kerja pelik karyawan putus salah usaha karyawan pandemi,Negatif
tips salah jenis pilih kasih salah bosan kerja salah gaji kena potong lepas,Negatif
usaha ganti kerja mesin laku alas manusia tangan kerja usaha kembang semangat panjenengan,Positif
alas utama semester stop kerja guru honorer pindah usaha hidup kayak orang kayak gaji kadar makan enak uang orang,Negatif
usaha erti bingung pakai alas keluarga pindah kota kayak alas niat susah langsung gaji cair,Negatif
gantung pindah kantor usaha beda usaha usaha alas pindah mutasi beda beda ubah gaji ubah,Negatif
lulus kuliah kerja pindah usaha cantum kerja pindah alas gaji daerah lingkung jahat,Negatif
pengin pindah industri kembang coba perhati jual,Positif
usaha jenjang karir gaji pindah alas cari gaji,Negatif
alas pindah kerja gaji lingkung jahat syukur gaji segi kualifikasi kompetensi usaha sesuai kesel bilang kayak kesal,Negatif
salah alas utama orang pindah kerja kena gaji jenjang karir lingkung kerja omong lingkung kerja jelek bilang gaji jenjang karir usaha janji,Negatif
manfaat kondisi level karir pindah usaha valid,Negatif
pindah kerja cari uang banget usaha kasih gaji kasih tenang batin kerja alas pandemi kena imbas erti,Negatif
pindah usaha alas utama gaji perkara usaha alas urus,Negatif
uang edar salah alas inflasi mangkanya gaji salah inflasi mangkanya gaji pilih pindah usaha,Negatif
kena tukar gaji kena lihat faktor peluang staf staf cuti kerja kena angkut isteri angkut senarai,Negatif
kerja pindah alas usaha gaji karyawan alas,Positif
cakap pahit teruk kedekut gaji buruk contoh alas henti,Negatif
alas lamar kembang peduli kembang lihat tenang lihat loyal pengin ganti penuh,Positif
ramai henti kerja gaji harga kawan kerja jahat beban kerja repek kebaji kerja abai,Negatif
singkat dunia kerja khusus anak kerja atur pengin umur pendek anak kerja teman belah rekan kerja,Negatif
cerita pecat karyawan kerja kerja kerja tonton kerja bingung lucu marah,Negatif
nyata lingkung kerja jahat alas beliau cocok usaha fokus studi kontrak wajar hitung,Positif
alas pindah manual digital kudu harga negeri kurs murah digitalisasi pakai produk lokal jamin aman data usaha,Negatif
dunia kembang arah revolusi industri kerja hidup binatang libur kerja tunjang santai minum sampanye restoran mewah,Positif
gatal gatal cakap benda buruk pasal majikan cakap buruk pasal kerja cakap pasal jahat jatuh cinta,Negatif
kerja usaha lokal indonesia prinsip kerja wajar batas usaha gaji beda kerja maksimal usaha harga upaya,Netral
hidup realitas ekonomi buah usaha rugi gaji direksi potong tekan usaha rugi karyawan penuh kait rantai pasok,Negatif
indonesia gaji lingkung kerja jahat sadar,Negatif
susah kerja usaha israel pribadi kerja umkm gaji minimal turun drastis pasu turun usaha israel tingkat pecah rumah,Negatif
mentoring curhat kembang kerja pindah pindah bantu,Negatif
alas pindah sadar gaji lingkung kerja salah bocil matahari buta dunia kerja mending pikir pindah usaha cari nyaman,Negatif
kontra tuju fokus alas pindah usaha stabil gaji stabil,Negatif
zaman almarhum papa salah bank pindah alas birokrasi susah capai usaha minim kerja,Negatif
sender coba lamar lamar usaha mending alas gaji telat bayar kantor pindah susah akses kendara,Negatif
biar pindah usaha alas gaji,Negatif
saran mbak terima sangon ganti usaha alam pojok paksa klarifikasi jatuh nama bikin stres niat ambil,Negatif
kontrak usaha gaji nyaman pengin pindah alas,Positif
kantor bagus banget enak kompak jahat gaji seret karir kembang situ alas teman enak cari kayak,Negatif
salah pindah usaha bagus kantor salah asuransi kantor alas mulia gaji,Negatif
manfaat buruh usaha hemat kali gaji orang alas upah minimum rendah,Netral
salah ajar perkara gaji jahat peluang pangkat tukar kerja,Negatif
paksa bayar gaji paksa laku usaha ganti rugi sisa kontrak wajib pasal ubah,Negatif
kait kutu loncat manajemen loncat bikin gaji drastis baca kutu loncat rekomendasi kasih orang kandidat,Positif
awak tukar bidang salah bosan kerja salah dengar gaji,Negatif
salah ajar perkara gaji jahat peluang pangkat tukar kerja,Negatif
kadang nama paragon segani pindah usaha mudah alas kasih tawar gaji lipat,Negatif
kasir abdi usaha ujang alas pindah ujang gaji bangladesh,Negatif
usaha jelek bikin kembang doang proses kerja ajeg capek kerja jelek terima kerja hikmah doang cari bagus,Positif
karakteristik loker indonesia subjektif pandang ijazah kerja keras angkat tahan ijazah lingkung jahat tahan usaha suka orang cepat pindah alas laku urus jual laku,Negatif
pegang divisi tahan cuman alas pindah kembang ilmu karir terima jepang usaha,Positif
kandidat lamar alas pindah taraf hidup gaji lihat gaji juta usaha kerja harap gaji,Positif
penasaran kandidat usaha pindah alas utama gaji mentok kasih ruang mentok seru,Negatif
uang usaha bawa kabur mantan manajer uang sisi manajer uang bawa kabur gaji bayar uang usaha buruk uang usaha buruk suka ambil uang usaha urus pribadi,Negatif
stres cemas akibat tekan hidup pribadi lelah fisik mental paksa inspirasi lingkung rutinitas monoton perfeksionis alias fokus,Negatif
putus duga bikin uang buruk apartemen cicil beban usaha salah kelola bisnis bayar apartemen gaji suka tarik uang,Negatif
gara-gara alas gaji bonus pindah usaha gaji sesal,Negatif
kayak rame generalisasi baca sisi positif kutu loncat pindah posisi gaji,Negatif
rekan kerja usaha alas posisi pindah situ,Negatif
arti pindah alas kuat gaji bumn lihat gaji timbang masuk usaha bingung pakai terima kasih,Negatif
rela alas usaha banget rumah gaji ongkos transpor rupiah sesal enak,Positif
alas tindak laku cari alam cari peluang sesuai tuju karir ahli kembang,Netral
kali pindah sadar orang orang tolol jahat usaha alas tahan slip,Negatif
alas terang alternatif lingkung jahat cari lingkung kerja dukung kembang tumbuh kembang profesional,Positif
masuk kerja muncul paksa gugat kayak insentif gaji bayar janji kasih,Negatif
plan mental kali jahat titik,Negatif
kerja efek gaji tingkat suka usaha daya tawar orang langsung ganti bisnis gerak cepat alas kerja,Positif
mesti sorang stres jahat gaji sikit orang kerja,Negatif
kudap wajib lembur traktir,Negatif
alas jahat lingkung kerja jahat tinggal toleransi,Negatif
real alas teman bikin emosi malas jarang kerja gaji uang makan jalan,Negatif
alas kembang kerja kontrak pakai bilang,Positif
alas kerja gaji kerja berat pengin rambut,Netral
rekan kerja wanita alas program hamil anak banget jago desain,Positif
alas gaji nyaman lingkung kerja teman kerja kalimat indah kepsek,Negatif
cari kerja susah pandemi kerja beban banget depresi samping gaji keluarga bilang sakit biar alas libur kerja,Negatif
alas kerja cari kasih gaji kerja auto sesal tinggal kerja sesal,Negatif
anak jaman kerja bosan alas karir teman cuan gede,Negatif
minggu kerja pengin betah lingkung kerja bingung alas,Negatif
kerja alas capek alas utama nyaman orang kerja nyaman alas orang jahat jahat orang pacar,Negatif
main data karyawan paksa tunggu sakit usaha lalai gaji alias penuh wajib ngeri,Negatif
tahap lampau stres kerja mesti kadang tahan jenis kerja paruh jalan kadang kerja gaji bayar komitmen moga sabar rezeki milik allah,Positif
tetangga kantor alas kerja capek kerja jahat kepala rehat capek jalan,Negatif
alas jahat banget arah kerja visi jahat bungkus alas cari kerja hasil,Netral
mama kerja sakit salah banget kaya hambat tuju hidup mama alas beliau salah sakit akibat urus pusing stres pikir banget kaya beban orang rumah,Negatif
keren karyawan papa hamil cerita kerja rumah alas kuat kantor papa kasih bijak gaji cuti lahir gaji papa kasih habis cuti lahir,Positif
slip gaji gaji sisa kerja situ tulis hitung kerja bayar potong arti hitung,Negatif
utama kerja alas gaji rekan kerja laku kerja kayak tahi,Negatif
kudu rabi alas suami kerja lembur rabi solusi,Negatif
jujur alas jahat alas capek orang kerja modal lurah riwayat hidup,Negatif
teman gaji lumayan alas lingkung kerja kerja cari coba pengin,Negatif
alas kerja turun lapang kadang malam lepas gaji kerja pulang malam gaji standar keluh astagfirullah,Negatif
kerja teman angkat alas sedih bikin menang rekan kerja kerja teman angkat sedih,Negatif
tolong kasih alas cocok kosmetik mall kerja capek banget,Netral
sampah staff acah masuk kerja alas kerja gaji berkat kerja kena,Negatif
benci banget kantor marah akal bikin mental tahan jahat sesal banget alhamdulillah,Positif
usaha kaca lahir sedia ruang laktasi busui fleksibel busui perah jelek karyawan kecuali lembur,Positif
kerja kerja sehat mental miskin duit miskin mental,Negatif
alas malas pulkam ketemu tante kakak sepupu pokok anggota keluarga bagus kerja kemarin lihat susah kerja pandemi sabar sabar,Netral
kerja suka duka beban kerja kolega gampang kabur kerikil permisif cari jahat salah ambil cuti salah,Negatif
manager pecat nyata kerja busuk kirim lebay gaji tarik usaha,Negatif
kerja bidang minat suka kerja pergi kerja menang ambil putus henti tawar bonus,Negatif
jujur dengar orang alas bosan lingkung kerja gaji pengin lempar kerja,Negatif
kerja jahat rubah darah daging pilih,Negatif
kerja efek gaji tingkat suka usaha daya tawar orang langsung ganti bisnis gerak cepat alas kerja,Positif
alas kawan tawar loker mundur kerja gaji pokok pagi pulang malam lembur partner jahat parah wajar,Negatif
mbak alam mending mundur sehat mental gaji pangkat hancur mental kerja bikin hancur tuju kerja gaji mental,Negatif
tiada gaji urus beban kerja wang sehat rupa faktor henti,Negatif
utama kerja alas gaji rekan kerja laku kerja kayak tahi,Negatif
nekad jahat teman kantor suportif kerja budak sistem kantor hancur hasil kesel uang kantor tolong,Negatif
kerja alas jarak gaji,Netral
alas palsu kerja alas asli gaji banding banget sistem kerja jahat,Netral
wawancara kerja usaha alas finansial gaji etis,Negatif
lembur mesti rawat rumkit lelah kronis tipes teman bawa suka turun jabat sakit kerja pilih auto kelimpungan,Negatif
lolos rekan kerja alas jujur butuh saran terima kasih,Negatif
alas keren capek kerja gaji,Negatif
alas gaji sesuai cepat posisi kerja,Positif
rencana kerja gaji signifikan beban kerja lembur bayar alas jelek usaha,Negatif
sayang mental lingkung jahat over lembur bayar urus kantor agustus kerja januari tabung,Netral
gaji bonus kuat tinggal cari habis situ jerih payah usaha pandang belah mata,Negatif
alas salah gaji kontribusi uang keluarga alas terima sang direktur peduli keluarga peduli usaha pergi,Positif
lambat insentif gaji pegawai utama nakes paksa,Negatif
stres kerja lepas tengok nyawa sikit cakap hadap hadap paksa,Negatif
teman manager pandemi tahan karyawan pikir karyawan rumah mending tutup gaji asih kerja,Positif
suasana kantor enak jahat rekan kerja tahan butuh duit pahit,Negatif
usaha capek kerja gaji besok masuk kerja langsung gaji,Negatif
stres kerja situ fikir duit kalis jahat stres baca seronok kerja,Negatif
kerja nyaman banget cocok lingkung gaji putus korea niat libur cari kerja korona dasar menang,Positif
alas kerja lingkung jahat lingkung bagus jahat bagus keteter rumah mahal over stres,Negatif
jaman kerja pakai alas mental adaptasi lingkung inti lingkung kerja paham,Negatif
kerja bayar juta begadang tidur come,Netral
mbak rasai posisi capek capek capek lingkung kerja jahat banget kontrak kerja pinalti uang keluarga orang sayang,Negatif
bagus jahat mudah cakap,Negatif
orang lingkung jahat kayak langkah percaya enak alam pribadi,Negatif
ambil kena kantor alas kantor lingkung kerja jahat gaji kerja alokasi uang tahan kenal putus pilih,Negatif
minggu kerja sombong gara-gara sarjana lulus coba bangun komunikasi jelek teman kerja cepu bodo sehat jiwa kerja kayak robot,Negatif
