teks,label,skor
pindah kerja alas kantor jahat kantor gaji pindah sesal terima kasih,Negatif,-1
paksa masuk kerja pagi pulang malam buta hukum telat balas pesan menit paksa lepas alat kena sakit paksa kerja tidur kaki tangan hilang,Negatif,-1
rela alas usaha banget rumah gaji ongkos transpor rupiah sesal enak,Positif,1
putus lingkung kerja nyaman jenjang karir gaji jenuh banget kayak karyawan nyokap tuju takut,Positif,1
dunia kerja dunia kerja atur urus tinggal ijin omong sakit lampir surat ijin kerja orang asih gaji,Negatif,-1
kerja pindah alas pindah kerja cuman gaji,Negatif,-1
entar ketemu teman gaji pikir pindah saran syukur pindah kerja alas gaji teman dewasa,Positif,1
teman pindah pindah gede gaji kerja susah hidup kapai susah alas orang pindah kerja biar gaji rendah,Negatif,-1
teman henti alas guru senior murid bandel banget kerja sekolah negeri buah kota beban kerja sesuai gaji,Netral,0
kali lingkung kerja jahat surat,Negatif,-1
alas biar kerja kondisi kantor bikin jahat manusia ubah lingkung dukung kriminal timbang lihat jahat,Positif,1
lihat pilih gaji opsi kerja lingkung nyaman jarak pilih milik timbang kena,Netral,0
arti tahan lingkung kerja jahat faktor gaji tekan keluarga kerja janji,Negatif,-1
pindah kerja jamin aman terima sesuai kerja lolos alam tinggal nyaman usaha enak,Netral,0
pilih salah harga level tutup bawa gerbong rombong manjur pakai,Negatif,-1
alas jahat banget arah kerja visi jahat bungkus alas cari kerja hasil,Netral,0
kembang karir hasil sesuai harap pindah faktur utama tahan pindah perut hati otak,Positif,1
bismillah coba rangkum sederhana paham merger akuisisi sektor bisnis kecuali industri malu agens kembang,Positif,1
ubah mentalitas malu telat kerja wajib acara kantor urus pribadi debat manusia salah,Negatif,-1
cabut manager peka karir kembang kompensasi kerja belit kasi ajar apresiasi mentor kultur sehat ruang inovasi,Negatif,-1
kerja efek gaji tingkat suka usaha daya tawar orang langsung ganti bisnis gerak cepat alas kerja,Positif,1
kerja efek gaji tingkat suka usaha daya tawar orang langsung ganti bisnis gerak cepat alas kerja,Positif,1
karyawan bohong lamar arti nyaman tahan usaha usaha evaluasi sistem manajemen lihat elegan,Positif,1
usaha kaca lahir sedia ruang laktasi busui fleksibel busui perah jelek karyawan kecuali lembur,Positif,1
alas salah gaji kontribusi uang keluarga alas terima sang direktur peduli keluarga peduli usaha pergi,Positif,1
bangun pagi semangat pergi kerja tepu kerja rutin gain mati situ gaji timpal,Netral,0
durasi kerja usaha pindah pindah alas tingkat gaji bidang,Negatif,-1
jaman bisnis identik milik keluarga indak butuh struktur organisasi detail iring ubah jaman buah usaha milik milik saham,Positif,1
teman manager pandemi tahan karyawan pikir karyawan rumah mending tutup gaji asih kerja,Positif,1
usaha kemarin lulus sekolah kerja henti alas gaji kerja tempo ketemu pindah kerja,Positif,1
alas urgen tawar jahat kerja orang loyal terima usaha kutu loncat,Negatif,-1
baca kontrak kerja usaha asih denda selesai kontrak kerja pindah kompetitor jujur alas cari kerja,Negatif,-1
akak teman orang pindah usaha nutrisi usaha alas kali lipat mantap,Netral,0
kerja enak banget banget bosan astaga indah bego banget pindah kerja salah usaha alas gaji digit nyata bayar tanggung sanggup,Positif,1
bilang gaji lumrah alas pindah usaha,Negatif,-1
alas kerja lingkung jahat lingkung bagus jahat bagus keteter rumah mahal over stres,Negatif,-1
harap coba kembang beda cari suasana tantang kerja alam luas,Netral,0
gaji cepat pindah usaha usaha syarat layak alas pindah alas negatif,Negatif,-1
kantor bikin gaji cepat strategi jangka buah utas perspektif usaha hadap,Positif,1
jabodetabek wajar alias kutu loncat pindah kerja gaji pindah kerja daerah lapang kerja batas rendah coba,Negatif,-1
lompat masuk masuk bonus kali tahan until,Negatif,-1
sesal suruh pindah surabaya hidup jamin papa kerja usaha rumah kendara bego banget pakai alas pisah teman suka yuda,Negatif,-1
lompat lompat relatif stabil cetak badai reda asik goreng gaji pindah kena,Negatif,-1
salah alas suami pindah kerja gaji usaha sakit bpjs doang profit fasilitas alhamdulillah,Negatif,-1
barusan teman cerita usaha jepang jaman kali pindah kerja alas loyal kutu loncat problem,Negatif,-1
beban operasional usaha karyawan sesuai gaji biar beban operasional berat karyawan gaji ganti karyawan gaji,Positif,1
alas gaji wajar takut anggap loyal usaha anggap usaha gaji pindah,Negatif,-1
usaha teman jamin capek nyaman alas pindah pindah orang,Negatif,-1
sejarah catat pindah presiden sulit ekonomi negara utang potensi gusur warga lokal luas rusa kalimantan cenderung untung oligarki,Negatif,-1
telusur bayar lingkung kerja jahat bagus paksa tahan keburu depresi anak orang,Negatif,-1
undur massal usaha pandemi kondisi usaha stres kerja pelik karyawan putus salah usaha karyawan pandemi,Negatif,-1
tips salah jenis pilih kasih salah bosan kerja salah gaji kena potong lepas,Negatif,-1
usaha ganti kerja mesin laku alas manusia tangan kerja usaha kembang semangat panjenengan,Positif,1
alas utama semester stop kerja guru honorer pindah usaha hidup kayak orang kayak gaji kadar makan enak uang orang,Negatif,-1
usaha erti bingung pakai alas keluarga pindah kota kayak alas niat susah langsung gaji cair,Negatif,-1
gantung pindah kantor usaha beda usaha usaha alas pindah mutasi beda beda ubah gaji ubah,Negatif,-1
lulus kuliah kerja pindah usaha cantum kerja pindah alas gaji daerah lingkung jahat,Negatif,-1
pengin pindah industri kembang coba perhati jual,Positif,1
usaha jenjang karir gaji pindah alas cari gaji,Negatif,-1
alas pindah kerja gaji lingkung jahat syukur gaji segi kualifikasi kompetensi usaha sesuai kesel bilang kayak kesal,Negatif,-1
salah alas utama orang pindah kerja kena gaji jenjang karir lingkung kerja omong lingkung kerja jelek bilang gaji jenjang karir usaha janji,Negatif,-1
manfaat kondisi level karir pindah usaha valid,Netral,0
pindah kerja cari uang banget usaha kasih gaji kasih tenang batin kerja alas pandemi kena imbas erti,Negatif,-1
pindah usaha alas utama gaji perkara usaha alas urus,Negatif,-1
uang edar salah alas inflasi mangkanya gaji salah inflasi mangkanya gaji pilih pindah usaha,Negatif,-1
kena tukar gaji kena lihat faktor peluang staf staf cuti kerja kena angkut isteri angkut senarai,Negatif,-1
kerja pindah alas usaha gaji karyawan alas,Netral,0
cakap pahit teruk kedekut gaji buruk contoh alas henti,Negatif,-1
alas lamar kembang peduli kembang lihat tenang lihat loyal pengin ganti penuh,Positif,1
ramai henti kerja gaji harga kawan kerja jahat beban kerja repek kebaji kerja abai,Negatif,-1
singkat dunia kerja khusus anak kerja atur pengin umur pendek anak kerja teman belah rekan kerja,Negatif,-1
cerita pecat karyawan kerja kerja kerja tonton kerja bingung lucu marah,Negatif,-1
nyata lingkung kerja jahat alas beliau cocok usaha fokus studi kontrak wajar hitung,Positif,1
alas pindah manual digital kudu harga negeri kurs murah digitalisasi pakai produk lokal jamin aman data usaha,Negatif,-1
dunia kembang arah revolusi industri kerja hidup binatang libur kerja tunjang santai minum sampanye restoran mewah,Positif,1
gatal gatal cakap benda buruk pasal majikan cakap buruk pasal kerja cakap pasal jahat jatuh cinta,Negatif,-1
kerja usaha lokal indonesia prinsip kerja wajar batas usaha gaji beda kerja maksimal usaha harga upaya,Netral,0
hidup realitas ekonomi buah usaha rugi gaji direksi potong tekan usaha rugi karyawan penuh kait rantai pasok,Negatif,-1
indonesia gaji lingkung kerja jahat sadar,Negatif,-1
susah kerja usaha israel pribadi kerja umkm gaji minimal turun drastis pasu turun usaha israel tingkat pecah rumah,Netral,0
mentoring curhat kembang kerja pindah pindah bantu,Negatif,-1
alas pindah sadar gaji lingkung kerja salah bocil matahari buta dunia kerja mending pikir pindah usaha cari nyaman,Negatif,-1
kontra tuju fokus alas pindah usaha stabil gaji stabil,Positif,1
zaman almarhum papa salah bank pindah alas birokrasi susah capai usaha minim kerja,Negatif,-1
sender coba lamar lamar usaha mending alas gaji telat bayar kantor pindah susah akses kendara,Negatif,-1
biar pindah usaha alas gaji,Negatif,-1
saran mbak terima sangon ganti usaha alam pojok paksa klarifikasi jatuh nama bikin stres niat ambil,Negatif,-1
kontrak usaha gaji nyaman pengin pindah alas,Netral,0
kantor bagus banget enak kompak jahat gaji seret karir kembang situ alas teman enak cari kayak,Negatif,-1
salah pindah usaha bagus kantor salah asuransi kantor alas mulia gaji,Negatif,-1
manfaat buruh usaha hemat kali gaji orang alas upah minimum rendah,Netral,0
salah ajar perkara gaji jahat peluang pangkat tukar kerja,Negatif,-1
paksa bayar gaji paksa laku usaha ganti rugi sisa kontrak wajib pasal ubah,Negatif,-1
kait kutu loncat manajemen loncat bikin gaji drastis baca kutu loncat rekomendasi kasih orang kandidat,Positif,1
awak tukar bidang salah bosan kerja salah dengar gaji,Negatif,-1
salah ajar perkara gaji jahat peluang pangkat tukar kerja,Negatif,-1
kadang nama paragon segani pindah usaha mudah alas kasih tawar gaji lipat,Negatif,-1
kasir abdi usaha ujang alas pindah ujang gaji bangladesh,Negatif,-1
usaha jelek bikin kembang doang proses kerja ajeg capek kerja jelek terima kerja hikmah doang cari bagus,Positif,1
karakteristik loker indonesia subjektif pandang ijazah kerja keras angkat tahan ijazah lingkung jahat tahan usaha suka orang cepat pindah alas laku urus jual laku,Positif,1
pegang divisi tahan cuman alas pindah kembang ilmu karir terima jepang usaha,Positif,1
kandidat lamar alas pindah taraf hidup gaji lihat gaji juta usaha kerja harap gaji,Positif,1
penasaran kandidat usaha pindah alas utama gaji mentok kasih ruang mentok seru,Negatif,-1
uang usaha bawa kabur mantan manajer uang sisi manajer uang bawa kabur gaji bayar uang usaha buruk uang usaha buruk suka ambil uang usaha urus pribadi,Negatif,-1
stres cemas akibat tekan hidup pribadi lelah fisik mental paksa inspirasi lingkung rutinitas monoton perfeksionis alias fokus,Negatif,-1
putus duga bikin uang buruk apartemen cicil beban usaha salah kelola bisnis bayar apartemen gaji suka tarik uang,Negatif,-1
gara-gara alas gaji bonus pindah usaha gaji sesal,Negatif,-1
kayak rame generalisasi baca sisi positif kutu loncat pindah posisi gaji,Negatif,-1
rekan kerja usaha alas posisi pindah situ,Negatif,-1
arti pindah alas kuat gaji bumn lihat gaji timbang masuk usaha bingung pakai terima kasih,Positif,1
rela alas usaha banget rumah gaji ongkos transpor rupiah sesal enak,Positif,1
alas tindak laku cari alam cari peluang sesuai tuju karir ahli kembang,Netral,0
kali pindah sadar orang orang tolol jahat usaha alas tahan slip,Negatif,-1
alas terang alternatif lingkung jahat cari lingkung kerja dukung kembang tumbuh kembang profesional,Positif,1
masuk kerja muncul paksa gugat kayak insentif gaji bayar janji kasih,Negatif,-1
plan mental kali jahat titik,Negatif,-1
kerja efek gaji tingkat suka usaha daya tawar orang langsung ganti bisnis gerak cepat alas kerja,Positif,1
mesti sorang stres jahat gaji sikit orang kerja,Negatif,-1
kudap wajib lembur traktir,Negatif,-1
alas jahat lingkung kerja jahat tinggal toleransi,Negatif,-1
real alas teman bikin emosi malas jarang kerja gaji uang makan jalan,Netral,0
alas kembang kerja kontrak pakai bilang,Positif,1
alas kerja gaji kerja berat pengin rambut,Netral,0
rekan kerja wanita alas program hamil anak banget jago desain,Positif,1
alas gaji nyaman lingkung kerja teman kerja kalimat indah kepsek,Netral,0
cari kerja susah pandemi kerja beban banget depresi samping gaji keluarga bilang sakit biar alas libur kerja,Negatif,-1
alas kerja cari kasih gaji kerja auto sesal tinggal kerja sesal,Negatif,-1
anak jaman kerja bosan alas karir teman cuan gede,Negatif,-1
minggu kerja pengin betah lingkung kerja bingung alas,Netral,0
kerja alas capek alas utama nyaman orang kerja nyaman alas orang jahat jahat orang pacar,Netral,0
main data karyawan paksa tunggu sakit usaha lalai gaji alias penuh wajib ngeri,Negatif,-1
tahap lampau stres kerja mesti kadang tahan jenis kerja paruh jalan kadang kerja gaji bayar komitmen moga sabar rezeki milik allah,Positif,1
tetangga kantor alas kerja capek kerja jahat kepala rehat capek jalan,Negatif,-1
alas jahat banget arah kerja visi jahat bungkus alas cari kerja hasil,Netral,0
mama kerja sakit salah banget kaya hambat tuju hidup mama alas beliau salah sakit akibat urus pusing stres pikir banget kaya beban orang rumah,Negatif,-1
keren karyawan papa hamil cerita kerja rumah alas kuat kantor papa kasih bijak gaji cuti lahir gaji papa kasih habis cuti lahir,Positif,1
slip gaji gaji sisa kerja situ tulis hitung kerja bayar potong arti hitung,Netral,0
utama kerja alas gaji rekan kerja laku kerja kayak tahi,Negatif,-1
kudu rabi alas suami kerja lembur rabi solusi,Positif,1
jujur alas jahat alas capek orang kerja modal lurah riwayat hidup,Negatif,-1
teman gaji lumayan alas lingkung kerja kerja cari coba pengin,Negatif,-1
alas kerja turun lapang kadang malam lepas gaji kerja pulang malam gaji standar keluh astagfirullah,Negatif,-1
kerja teman angkat alas sedih bikin menang rekan kerja kerja teman angkat sedih,Netral,0
tolong kasih alas cocok kosmetik mall kerja capek banget,Positif,1
sampah staff acah masuk kerja alas kerja gaji berkat kerja kena,Negatif,-1
benci banget kantor marah akal bikin mental tahan jahat sesal banget alhamdulillah,Positif,1
usaha kaca lahir sedia ruang laktasi busui fleksibel busui perah jelek karyawan kecuali lembur,Positif,1
kerja kerja sehat mental miskin duit miskin mental,Negatif,-1
alas malas pulkam ketemu tante kakak sepupu pokok anggota keluarga bagus kerja kemarin lihat susah kerja pandemi sabar sabar,Netral,0
kerja suka duka beban kerja kolega gampang kabur kerikil permisif cari jahat salah ambil cuti salah,Negatif,-1
manager pecat nyata kerja busuk kirim lebay gaji tarik usaha,Negatif,-1
kerja bidang minat suka kerja pergi kerja menang ambil putus henti tawar bonus,Negatif,-1
jujur dengar orang alas bosan lingkung kerja gaji pengin lempar kerja,Positif,1
kerja jahat rubah darah daging pilih,Negatif,-1
kerja efek gaji tingkat suka usaha daya tawar orang langsung ganti bisnis gerak cepat alas kerja,Positif,1
alas kawan tawar loker mundur kerja gaji pokok pagi pulang malam lembur partner jahat parah wajar,Negatif,-1
mbak alam mending mundur sehat mental gaji pangkat hancur mental kerja bikin hancur tuju kerja gaji mental,Positif,1
tiada gaji urus beban kerja wang sehat rupa faktor henti,Negatif,-1
utama kerja alas gaji rekan kerja laku kerja kayak tahi,Negatif,-1
nekad jahat teman kantor suportif kerja budak sistem kantor hancur hasil kesel uang kantor tolong,Negatif,-1
kerja alas jarak gaji,Netral,0
alas palsu kerja alas asli gaji banding banget sistem kerja jahat,Netral,0
wawancara kerja usaha alas finansial gaji etis,Positif,1
lembur mesti rawat rumkit lelah kronis tipes teman bawa suka turun jabat sakit kerja pilih auto kelimpungan,Negatif,-1
lolos rekan kerja alas jujur butuh saran terima kasih,Negatif,-1
